"回号","抽せん日","販売実績額","キャリーオーバー","1等口数","1等当せん金額"
"559","2011-05-30","","0","1","196540700"
"560","2011-06-02","","21887100","1","200000000"
"561","2011-06-06","","0","2","127969000"
"562","2011-06-09","","0","3","67477800"
"563","2011-06-13","","0","2","97738500"
"564","2011-06-16","","0","4","52001000"
"565","2011-06-20","","0","3","63900800"
"566","2011-06-23","","13672968","1","200000000"
"567","2011-06-27","","225606974","0","0"
"568","2011-06-30","","0","2","258596800"
"569","2011-07-04","","204274190","0","0"
"570","2011-07-07","","0","2","239144300"
"571","2011-07-11","","0","5","39891900"
"572","2011-07-14","","0","3","71561100"
"573","2011-07-18","","178729671","0","0"
"574","2011-07-21","","28280571","1","400000000"
"575","2011-07-25","","0","2","112039700"
"576","2011-07-28","","15342210","1","200000000"
"577","2011-08-01","","0","1","231169700"
"578","2011-08-04","","202161370","0","0"
"579","2011-08-08","","0","2","213388800"
"580","2011-08-11","","1053505","1","200000000"
"581","2011-08-15","","0","3","66884900"
"582","2011-08-18","","0","4","50665600"
"583","2011-08-22","","197194180","0","0"
"584","2011-08-25","","0","6","74482300"
"585","2011-08-29","","212812345","0","0"
"586","2011-09-01","","0","3","160511600"
"587","2011-09-05","","0","2","94929700"
"588","2011-09-08","","20985545","1","200000000"
"589","2011-09-12","","0","2","122477600"
"590","2011-09-15","","24741779","1","200000000"
"591","2011-09-19","","0","2","114611500"
"592","2011-09-22","","0","1","191762100"
"593","2011-09-26","","0","1","197255100"
"594","2011-09-29","","212375624","0","0"
"595","2011-10-03","","0","5","93810400"
"596","2011-10-06","","0","2","103166100"
"597","2011-10-10","","0","3","54331900"
"598","2011-10-13","","199108103","0","0"
"599","2011-10-17","","0","2","216314000"
"600","2011-10-20","","205182997","0","0"
"601","2011-10-24","","458553485","0","0"
"602","2011-10-27","","391868219","1","400000000"
"603","2011-10-31","","0","3","226379100"
"604","2011-11-03","","0","2","107591000"
"605","2011-11-07","","0","5","41549700"
"606","2011-11-10","","0","3","70446700"
"607","2011-11-14","","0","3","63061400"
"608","2011-11-17","","0","4","49879600"
"609","2011-11-21","","196369972","0","0"
"610","2011-11-24","","0","7","60543300"
"611","2011-11-28","","0","2","99847700"
"612","2011-12-01","","218722379","0","0"
"613","2011-12-05","","0","7","66079000"
"614","2011-12-08","","0","2","102950100"
"615","2011-12-12","","0","2","97869700"
"616","2011-12-15","","7179695","1","200000000"
"617","2011-12-19","","0","1","217255800"
"618","2011-12-22","","0","2","115085500"
"619","2011-12-26","","204786165","0","0"
"620","2011-12-29","","85310686","1","400000000"
"621","2012-01-05","","0","1","327545100"
"622","2012-01-09","","0","5","38782000"
"623","2012-01-12","","210483046","0","0"
"624","2012-01-16","","0","3","155194100"
"625","2012-01-19","","0","13","16095600"
"626","2012-01-23","","0","1","190646100"
"627","2012-01-26","","10424389","1","200000000"
"628","2012-01-30","","0","4","56958800"
"629","2012-02-02","","14218330","1","200000000"
"630","2012-02-06","","0","1","223115200"
"631","2012-02-09","","207747957","0","0"
"632","2012-02-13","","0","3","154298100"
"633","2012-02-16","","0","1","195269800"
"634","2012-02-20","","0","2","100888700"
"635","2012-02-23","","194658716","0","0"
"636","2012-02-27","","428409654","0","0"
"637","2012-03-01","","0","7","103124900"
"638","2012-03-05","","0","3","64471000"
"639","2012-03-08","","0","3","73500100"
"640","2012-03-12","","0","4","45794500"
"641","2012-03-15","","199596984","0","0"
"642","2012-03-19","","0","2","217597800"
"643","2012-03-22","","203432373","0","0"
"644","2012-03-26","","0","3","145189300"
