game,drawNumber,drawDate,mainNumbers,bonusNumbers,salesAmount,carryoverAmount,prizeTiers
"loto6","66","2002-01-10","7 15 17 30 33 35","14","","0","[{""tier"":1,""winners"":6,""prizeYen"":45895000},{""tier"":2,""winners"":11,""prizeYen"":22530100},{""tier"":3,""winners"":517,""prizeYen"":575200},{""tier"":4,""winners"":25519,""prizeYen"":10200},{""tier"":5,""winners"":418226,""prizeYen"":1000}]"
"loto6","67","2002-01-17","1 4 6 11 18 25","3","","0","[{""tier"":1,""winners"":5,""prizeYen"":47129400},{""tier"":2,""winners"":16,""prizeYen"":13255000},{""tier"":3,""winners"":901,""prizeYen"":282400},{""tier"":4,""winners"":33214,""prizeYen"":6700},{""tier"":5,""winners"":453927,""prizeYen"":1000}]"
"loto6","68","2002-01-24","16 23 30 35 37 39","38","","0","[{""tier"":1,""winners"":4,""prizeYen"":65075000},{""tier"":2,""winners"":6,""prizeYen"":39044600},{""tier"":3,""winners"":625,""prizeYen"":449700},{""tier"":4,""winners"":24938,""prizeYen"":9900},{""tier"":5,""winners"":359955,""prizeYen"":1000}]"
"loto6","69","2002-01-31","1 9 31 35 40 41","14","","78145012","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":9,""prizeYen"":27814200},{""tier"":3,""winners"":261,""prizeYen"":1150900},{""tier"":4,""winners"":16382,""prizeYen"":16100},{""tier"":5,""winners"":310812,""prizeYen"":1000}]"
"loto6","70","2002-02-07","6 11 20 23 24 31","17","","0","[{""tier"":1,""winners"":1,""prizeYen"":381471200},{""tier"":2,""winners"":22,""prizeYen"":12408600},{""tier"":3,""winners"":523,""prizeYen"":626300},{""tier"":4,""winners"":33262,""prizeYen"":8600},{""tier"":5,""winners"":454256,""prizeYen"":1000}]"
"loto6","71","2002-02-14","1 10 11 13 19 20","3","","0","[{""tier"":1,""winners"":3,""prizeYen"":93395200},{""tier"":2,""winners"":27,""prizeYen"":9339400},{""tier"":3,""winners"":548,""prizeYen"":552100},{""tier"":4,""winners"":23930,""prizeYen"":11100},{""tier"":5,""winners"":374719,""prizeYen"":1000}]"
"loto6","72","2002-02-21","10 12 24 29 33 37","34","","0","[{""tier"":1,""winners"":3,""prizeYen"":89058400},{""tier"":2,""winners"":7,""prizeYen"":34350800},{""tier"":3,""winners"":651,""prizeYen"":443200},{""tier"":4,""winners"":25848,""prizeYen"":9800},{""tier"":5,""winners"":395378,""prizeYen"":1000}]"
"loto6","73","2002-02-28","1 6 15 19 27 36","25","","267385456","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":11,""prizeYen"":21876800},{""tier"":3,""winners"":568,""prizeYen"":508400},{""tier"":4,""winners"":24885,""prizeYen"":10200},{""tier"":5,""winners"":390547,""prizeYen"":1000}]"
"loto6","74","2002-03-07","3 14 27 28 40 43","39","","0","[{""tier"":1,""winners"":3,""prizeYen"":216697800},{""tier"":2,""winners"":22,""prizeYen"":15656100},{""tier"":3,""winners"":906,""prizeYen"":456200},{""tier"":4,""winners"":44991,""prizeYen"":8100},{""tier"":5,""winners"":617550,""prizeYen"":1000}]"
"loto6","75","2002-03-14","2 4 9 19 23 31","18","","0","[{""tier"":1,""winners"":3,""prizeYen"":87271200},{""tier"":2,""winners"":14,""prizeYen"":16830700},{""tier"":3,""winners"":606,""prizeYen"":466500},{""tier"":4,""winners"":30814,""prizeYen"":8000},{""tier"":5,""winners"":469094,""prizeYen"":1000}]"
"loto6","76","2002-03-21","1 10 12 16 20 35","29","","0","[{""tier"":1,""winners"":3,""prizeYen"":82365800},{""tier"":2,""winners"":10,""prizeYen"":22238500},{""tier"":3,""winners"":461,""prizeYen"":578800},{""tier"":4,""winners"":25834,""prizeYen"":9100},{""tier"":5,""winners"":393610,""prizeYen"":1000}]"
"loto6","77","2002-03-28","5 10 15 28 37 38","13","","0","[{""tier"":1,""winners"":3,""prizeYen"":86328300},{""tier"":2,""winners"":14,""prizeYen"":16648800},{""tier"":3,""winners"":465,""prizeYen"":601500},{""tier"":4,""winners"":28836,""prizeYen"":8500},{""tier"":5,""winners"":416082,""prizeYen"":1000}]"
"loto6","78","2002-04-04","5 14 23 32 33 43","37","","0","[{""tier"":1,""winners"":7,""prizeYen"":38856500},{""tier"":2,""winners"":25,""prizeYen"":9791700},{""tier"":3,""winners"":970,""prizeYen"":302800},{""tier"":4,""winners"":34314,""prizeYen"":7500},{""tier"":5,""winners"":356876,""prizeYen"":1000}]"
"loto6","79","2002-04-11","20 22 27 32 36 43","23","","85172896","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":10,""prizeYen"":25665300},{""tier"":3,""winners"":230,""prizeYen"":1339000},{""tier"":4,""winners"":13883,""prizeYen"":19500},{""tier"":5,""winners"":287997,""prizeYen"":1000}]"
"loto6","80","2002-04-18","1 4 12 16 19 34","18","","0","[{""tier"":1,""winners"":1,""prizeYen"":361173200},{""tier"":2,""winners"":14,""prizeYen"":17742700},{""tier"":3,""winners"":693,""prizeYen"":430100},{""tier"":4,""winners"":43581,""prizeYen"":6000},{""tier"":5,""winners"":475371,""prizeYen"":1000}]"
"loto6","81","2002-04-25","1 11 15 23 26 27","41","","0","[{""tier"":1,""winners"":3,""prizeYen"":82115000},{""tier"":2,""winners"":24,""prizeYen"":9237800},{""tier"":3,""winners"":643,""prizeYen"":413700},{""tier"":4,""winners"":33795,""prizeYen"":6900},{""tier"":5,""winners"":495723,""prizeYen"":1000}]"
